##OS
1:AppName=10142|:0.000600:0.000600:1.000000
1:AppName=搞笑妹子-看美图淘无节操笑话,美女姐的囧颜表情,内涵段子电影视频剧片快乐地播,我百思不顾得天机魔相狐兔宝风暴云度,陌跑漫行往来遇见约会泡你查找搜iOS7幽默文库性感酷壁纸铃声贴吧秀|:0.000600:0.000600:1.000000
1:AppName=43135|:0.000600:0.000600:1.000000
1:AppName=15842|:0.000600:0.000600:1.000000
1:AppName=53391|:0.000600:0.000600:1.000000
1:AppName=21062|:0.000600:0.000600:1.000000
1:AppName=大理石祖玛v1.5|:0.000500:0.000500:1.000000
1:AppName=2998|:0.000500:0.000500:1.000000
1:AppName=20176|:0.000500:0.000500:1.000000
1:AppName=53110|:0.000500:0.000500:1.000000
1:AppName=2450|:0.000500:0.000500:1.000000
1:AppName=16366|:0.000500:0.000500:1.000000
1:AppName=56169|:0.000500:0.000500:1.000000
1:AppName=ASTRO 文件管理器|:0.000500:0.000500:1.000000
1:AppName=14269|:0.000500:0.000500:1.000000
1:AppName=6193|:0.000500:0.000500:1.000000
1:AppName=42525|:0.000500:0.000500:1.000000
1:AppName=全本完结小说大全(全免费)|:0.000500:0.000500:1.000000
1:AppName=1293|:0.000500:0.000500:1.000000
1:AppName=9156|:0.000500:0.000500:1.000000
1:AppName=45955|:0.000500:0.000500:1.000000
1:AppName=26012|:0.000500:0.000500:1.000000
1:AppName=36808|:0.000500:0.000500:1.000000
1:AppName=50082|:0.000500:0.000500:1.000000
1:AppName=41978|:0.000500:0.000500:1.000000
1:AppName=6928|:0.000500:0.000500:1.000000
1:AppName=45811|:0.000500:0.000500:1.000000
1:AppName=2196|:0.000500:0.000500:1.000000
1:AppName=蘑菇园|:0.000500:0.000500:1.000000
1:AppName=16279|:0.000500:0.000500:1.000000
1:AppName=16350|:0.000500:0.000500:1.000000
1:AppName=24496|:0.000400:0.000400:1.000000
1:AppName=16540|:0.000400:0.000400:1.000000
1:AppName=50504|:0.000400:0.000400:1.000000
1:AppName=52034|:0.000400:0.000400:1.000000
1:AppName=小月历 - 女性日记|:0.000400:0.000400:1.000000
1:AppName=9433|:0.000400:0.000400:1.000000
1:AppName=3925|:0.000400:0.000400:1.000000
1:AppName=9596|:0.000400:0.000400:1.000000
1:AppName=52956|:0.000400:0.000400:1.000000
1:AppName=50235|:0.000400:0.000400:1.000000
1:AppName=13656|:0.000400:0.000400:1.000000
1:AppName=13767|:0.000400:0.000400:1.000000
1:AppName=56042|:0.000400:0.000400:1.000000
1:AppName=家居装修设计 - 你的家居设计好帮手，各式创意家居装饰和家具创意|:0.000400:0.000400:1.000000
1:AppName=55336|:0.000400:0.000400:1.000000
1:AppName=47621|:0.000400:0.000400:1.000000
1:AppName=41864|:0.000400:0.000400:1.000000
1:AppName=【随身听】百家讲坛大合集-在历史中淘宝,在知识里百度|:0.000400:0.000400:1.000000
1:AppName=11120|:0.000400:0.000400:1.000000
1:AppName=坏蛋是怎样炼成的全集|:0.000400:0.000400:1.000000
1:AppName=8691|:0.000400:0.000400:1.000000
1:AppName=33624|:0.000400:0.000400:1.000000
1:AppName=郭德纲 - 2013最新相声全集（电台、相声、高清）|:0.000400:0.000400:1.000000
1:AppName=19835|:0.000400:0.000400:1.000000
1:AppName=36989|:0.000400:0.000400:1.000000
1:AppName=46697|:0.000400:0.000400:1.000000
1:AppName=5792|:0.000400:0.000400:1.000000
1:AppName=4945|:0.000400:0.000400:1.000000
1:AppName=33705|:0.000400:0.000400:1.000000
1:AppName=30420|:0.000400:0.000400:1.000000
1:AppName=20332|:0.000400:0.000400:1.000000
1:AppName=62276|:0.000400:0.000400:1.000000
1:AppName=怪物闹钟 ( AlarmMon, alarm clock )|:0.000400:0.000400:1.000000
1:AppName=铃声剪辑|:0.000400:0.000400:1.000000
1:AppName=6189|:0.000400:0.000400:1.000000
1:AppName=50645|:0.000400:0.000400:1.000000
1:AppName=50583|:0.000400:0.000400:1.000000
1:AppName=14056|:0.000400:0.000400:1.000000
1:AppName=24984|:0.000400:0.000400:1.000000
1:AppName=67478|:0.000400:0.000400:1.000000
1:AppName=47726|:0.000400:0.000400:1.000000
1:AppName=65486|:0.000400:0.000400:1.000000
1:AppName=62518|:0.000400:0.000400:1.000000
1:AppName=39384|:0.000300:0.000300:1.000000
